Time 		 total_aerosol_mass(Kg)
   1.038889e+00   4.418732e+02
   1.044444e+00   4.416103e+02
   1.050000e+00   4.413448e+02
   1.055556e+00   4.410767e+02
   1.061111e+00   4.408059e+02
   1.066667e+00   4.405323e+02
   1.072222e+00   4.402560e+02
   1.077778e+00   4.399769e+02
   1.083333e+00   4.396949e+02
   1.088889e+00   4.394101e+02
   1.094444e+00   4.391222e+02
   1.100000e+00   4.388315e+02
   1.105556e+00   4.385376e+02
   1.111111e+00   4.382408e+02
   1.116667e+00   4.379407e+02
   1.122222e+00   4.376375e+02
   1.127778e+00   4.373311e+02
   1.133333e+00   4.370215e+02
   1.138889e+00   4.367085e+02
   1.144444e+00   4.363921e+02
   1.150000e+00   4.360723e+02
   1.155556e+00   4.357490e+02
   1.161111e+00   4.354222e+02
   1.166667e+00   4.350919e+02
   1.172222e+00   4.347579e+02
   1.177778e+00   4.344202e+02
   1.183333e+00   4.340787e+02
   1.188889e+00   4.337335e+02
   1.194444e+00   4.333843e+02
   1.200000e+00   4.330313e+02
   1.205556e+00   4.326743e+02
   1.211111e+00   4.323132e+02
   1.216667e+00   4.319481e+02
   1.222222e+00   4.315787e+02
   1.227778e+00   4.312052e+02
   1.233333e+00   4.308273e+02
   1.238889e+00   4.304451e+02
   1.244444e+00   4.300585e+02
   1.250000e+00   4.296674e+02
   1.255556e+00   4.292717e+02
   1.261111e+00   4.288714e+02
   1.266667e+00   4.284664e+02
   1.272222e+00   4.280567e+02
   1.277778e+00   4.276421e+02
   1.283333e+00   4.272226e+02
   1.288889e+00   4.267981e+02
   1.294444e+00   4.263686e+02
   1.300000e+00   4.259339e+02
   1.305556e+00   4.254941e+02
   1.311111e+00   4.250489e+02
   1.316667e+00   4.245984e+02
   1.322222e+00   4.241424e+02
   1.327778e+00   4.236810e+02
   1.333333e+00   4.232139e+02
   1.338889e+00   4.227412e+02
   1.344444e+00   4.222626e+02
   1.350000e+00   4.217783e+02
   1.355556e+00   4.212880e+02
   1.361111e+00   4.207917e+02
   1.366667e+00   4.202893e+02
   1.372222e+00   4.197807e+02
   1.377778e+00   4.192658e+02
   1.383333e+00   4.187446e+02
   1.388889e+00   4.182169e+02
   1.394444e+00   4.176827e+02
   1.400000e+00   4.171418e+02
   1.405556e+00   4.165942e+02
   1.411111e+00   4.160398e+02
   1.416667e+00   4.154785e+02
   1.422222e+00   4.149102e+02
   1.427778e+00   4.143348e+02
   1.433333e+00   4.137521e+02
   1.438889e+00   4.131622e+02
   1.444444e+00   4.125649e+02
   1.450000e+00   4.119602e+02
   1.455556e+00   4.113478e+02
   1.461111e+00   4.107278e+02
   1.466667e+00   4.101000e+02
   1.472222e+00   4.094643e+02
   1.477778e+00   4.088206e+02
   1.483333e+00   4.081689e+02
